time(s),face,x,y,z
141.85516095161438,EU,0.7139,-0.483412,0.506639
153.25413846969604,VN,0.132505,-0.991119,0.01229
154.4115526676178,VN,0.135685,-0.990649,0.013367
154.74429631233215,VN,0.043612,-0.999063,0.004941
155.00126481056213,VN,-0.013095,-0.999841,-0.010917
155.29296493530273,VN,-0.051595,-0.998291,-0.029773
155.60080242156982,VN,-0.083124,-0.994968,-0.055984
155.90666270256042,VN,-0.103419,-0.991252,-0.081904
156.13742518424988,VN,-0.111196,-0.988894,-0.099232
156.396155834198,VN,-0.115942,-0.98631,-0.116761
156.62492036819458,VN,-0.117696,-0.982948,-0.141317
156.86566996574402,VN,-0.095023,-0.987817,-0.123772
157.0984287261963,VN,-0.054362,-0.993847,-0.096685
157.33126211166382,VN,-0.021423,-0.996995,-0.074794
157.5620515346527,VN,-0.011668,-0.997861,-0.06448
157.83283495903015,VN,-0.032151,-0.997442,-0.063948
158.06659650802612,VN,-0.045178,-0.996867,-0.065414
158.33133506774902,VN,-0.053938,-0.996314,-0.067321
158.62103700637817,VN,-0.076132,-0.994183,-0.075842
158.8658583164215,VN,-0.089904,-0.992443,-0.083805
159.09899830818176,VN,-0.095593,-0.991284,-0.090618
159.33275628089905,VN,-0.099109,-0.990495,-0.095616
159.57662987709045,VN,-0.104521,-0.989032,-0.104484
159.80838704109192,VN,-0.102773,-0.989041,-0.106072
160.05213522911072,VN,-0.097424,-0.989712,-0.104254
160.30292558670044,VN,-0.062108,-0.994825,-0.080332
160.5386781692505,VN,-0.032457,-0.997602,-0.061298
160.78363132476807,VN,-0.006153,-0.999042,-0.044837
161.01291060447693,VN,-0.012976,-0.999181,-0.03974
161.24067449569702,VN,-0.04265,-0.997854,-0.051401
161.49141550064087,VN,-0.073798,-0.995087,-0.065557
162.71370482444763,VN,-0.125063,-0.979989,-0.154761
162.94460558891296,VN,-0.118777,-0.979322,-0.163815
163.17836380004883,VN,-0.106522,-0.981549,-0.158915
163.4181170463562,VN,-0.072964,-0.98829,-0.133923
163.799720287323,VN,-0.039275,-0.992963,-0.111549
164.03456664085388,VN,0.003527,-0.996842,-0.079414
164.29335403442383,VN,0.01612,-0.997614,-0.066676
164.52711868286133,VN,-0.005959,-0.997652,-0.067891
164.82285451889038,VN,-0.027979,-0.996904,-0.073156
165.0586326122284,VN,-0.047411,-0.995549,-0.080711
165.30038118362427,VN,-0.064504,-0.99375,-0.090974
165.57936596870422,VN,-0.08145,-0.991262,-0.103723
165.86212682724,VN,-0.096397,-0.98777,-0.122897
166.11002230644226,VN,-0.094482,-0.987084,-0.129926
166.3577699661255,VN,-0.090947,-0.986463,-0.136035
166.59552526474,VN,-0.098689,-0.983981,-0.148354
166.86024451255798,VN,-0.085823,-0.98648,-0.139459
167.0979986190796,VN,-0.045813,-0.992697,-0.111487
167.36572456359863,VN,-0.009695,-0.996178,-0.086389
167.60247802734375,VN,0.016858,-0.997445,-0.069055
167.84422636032104,VN,0.012999,-0.998202,-0.058574
168.0789830684662,VN,-0.011731,-0.998237,-0.05841
168.32073307037354,VN,-0.043376,-0.996707,-0.068224
168.56876611709595,VN,-0.056015,-0.995678,-0.073501
168.81681489944458,VN,-0.063362,-0.995041,-0.076237
169.07254934310913,VN,-0.070893,-0.994409,-0.078443
169.3402717113495,VN,-0.077724,-0.993637,-0.081134
169.57103204727173,VN,-0.080846,-0.993091,-0.084635
169.84077763557434,VN,-0.080818,-0.993019,-0.086064
170.0795328617096,VN,-0.075955,-0.993691,-0.08226
170.33326864242554,VN,-0.08743,-0.992102,-0.089674
170.56402850151062,VN,-0.082822,-0.992959,-0.084606
170.80178260803223,VN,-0.024806,-0.998462,-0.048975
171.05152463912964,VN,0.001621,-0.999509,-0.032589
171.2842833995819,VN,0.001014,-0.999707,-0.024713
171.5190393924713,VN,-0.022058,-0.999224,-0.031412
171.7737753391266,VN,-0.046719,-0.998256,-0.03669
172.05648279190063,VN,-0.061683,-0.997305,-0.041214
172.29323887825012,VN,-0.080343,-0.99536,-0.052896
172.53798532485962,VN,-0.08536,-0.994983,-0.05266
172.7757384777069,VN,-0.09427,-0.993311,-0.066942
173.01349306106567,VN,-0.088722,-0.993746,-0.067881
173.28121542930603,VN,-0.061657,-0.99636,-0.060121
173.51697039604187,VN,-0.027885,-0.998722,-0.043537
173.77008056640625,VN,-0.004205,-0.999441,-0.031992
174.0108289718628,VN,0.016277,-0.99961,-0.023372
174.24675130844116,VN,0.001361,-0.999787,-0.022702
174.4845049381256,VN,-0.033268,-0.998961,-0.031521
174.78724479675293,VN,-0.092634,-0.993412,-0.067461
175.0342059135437,VN,-0.124886,-0.987018,-0.101088
175.31092238426208,VN,-0.136867,-0.982288,-0.128244
175.55079674720764,VN,-0.13105,-0.980795,-0.144205
175.78083729743958,VN,-0.122349,-0.98103,-0.150302
176.01859498023987,VN,-0.10013,-0.985421,-0.137462
176.24863481521606,VN,-0.062802,-0.991388,-0.11497
176.4895441532135,VN,-0.031227,-0.994917,-0.095351
176.72829461097717,VN,-0.003469,-0.996924,-0.078005
176.97506999969482,VN,0.012741,-0.997711,-0.066357
177.2088921070099,VN,0.001244,-0.998042,-0.062855
177.44997239112854,VN,-0.027142,-0.997304,-0.068208
177.73988914489746,VN,-0.055479,-0.994953,-0.083457
177.98486423492432,VN,-0.069217,-0.993239,-0.093136
178.21968126296997,VN,-0.084268,-0.990858,-0.104635
178.45543551445007,VN,-0.082972,-0.990533,-0.109247
178.75928330421448,VN,-0.078061,-0.990656,-0.11198
178.99503898620605,VN,-0.083332,-0.989246,-0.120016
179.22692012786865,VN,-0.092002,-0.987004,-0.131715
179.46067357063293,VN,-0.090769,-0.986785,-0.134358
180.71878719329834,VN,0.025708,-0.998655,-0.044606
180.95553970336914,VN,-0.006096,-0.998846,-0.046754
188.7137529850006,NZ,-0.913348,-0.404468,0.048197
189.09245467185974,NZ,-0.914882,-0.400824,0.05039
189.39513993263245,NZ,-0.917598,-0.394141,0.053353
190.80967473983765,NZ,-0.989501,-0.144118,-0.016376
191.13433933258057,NZ,-0.992093,-0.100707,-0.076313
191.4422435760498,NZ,-0.990218,-0.115536,-0.079452
191.7580759525299,NZ,-0.985831,-0.158465,-0.056616
192.03778862953186,NZ,-0.978783,-0.202916,-0.029854
192.27554082870483,NZ,-0.976655,-0.214144,-0.020487
